from_block,to_block,distance_m
B38,B08,510
B38,B09,498
B38,B10,486
B38,B11,474
B38,B12,462
B38,B13,450
B38,B14,438
B38,B15,426
B38,B16,414
B38,B17,402
B38,B18,390
B38,B19,378
B38,B20,366
B38,B21,354
B38,B22,342
B38,B23,330
B38,B24,318
B38,B25,306
B38,B26,294
B38,B27,282
B38,B28,270
B38,B29,258
B38,B30,246
B38,B31,234
B38,B32,222
B38,B33,210
B38,B34,198
B38,B35,186
B38,B36,174
B38,B37,162
B38,B39,162
B38,B40,174
B38,B41,186
B38,B42,198
B38,B43,210
B38,B44,222
B38,B45,234
B38,B46,246
B38,B47,258
B38,B48,270
B39,B01,606
B39,B02,594
B39,B03,582
B39,B04,570
B39,B05,558
B39,B06,546
B39,B07,534
B39,B08,522
B39,B09,510
B39,B10,498
B39,B11,486
B39,B12,474
B39,B13,462
B39,B14,450
B39,B15,438
B39,B16,426
B39,B17,414
B39,B18,402
B39,B19,390
B39,B20,378
B39,B21,366
B39,B22,354
B39,B23,342
B39,B24,330
B39,B25,318
B39,B26,306
B39,B27,294
B39,B28,282
B39,B29,270
B39,B30,258
B39,B31,246
B39,B32,234
B39,B33,222
B39,B34,210
B39,B35,198
B39,B36,186
B39,B37,174
B39,B38,162
B39,B40,162
B39,B41,174
B39,B42,186
B39,B43,198
B39,B44,210
B39,B45,222
B39,B46,234
B39,B47,246
B39,B48,258
B40,B01,618
B40,B02,606
B40,B03,594
B40,B04,582
B40,B05,570
B40,B06,558
B40,B07,546
B40,B08,534
B40,B09,522
B40,B10,510
B40,B11,498
B40,B12,486
B40,B13,474
B40,B14,462
B40,B15,450
B40,B16,438
B40,B17,426
B40,B18,414
B40,B19,402
B40,B20,390
B40,B21,378
B40,B22,366
B40,B23,354
B40,B24,342
B40,B25,330
B40,B26,318
B40,B27,306
B40,B28,294
B40,B29,282
B40,B30,270
B40,B31,258
B40,B32,246
B40,B33,234
B40,B34,222
B40,B35,210
B40,B36,198
B40,B37,186
B40,B38,174
B40,B39,162
B40,B41,162
B40,B42,174
B40,B43,186
B40,B44,198
B40,B45,210
B40,B46,222
B40,B47,234
B40,B48,246
B41,B01,630
B41,B02,618
B41,B03,606
B41,B04,594
B41,B05,582
B41,B06,570
B41,B07,558
B41,B08,546
B41,B09,534
B41,B10,522
B41,B11,510
B41,B12,498
B41,B13,486
B41,B14,474
B41,B15,462
B41,B16,450
B41,B17,438
B41,B18,426
B41,B19,414
B41,B20,402
B41,B21,390
B41,B22,378
B41,B23,366
B41,B24,354
B41,B25,342
B41,B26,330
B41,B27,318
B41,B28,306
B41,B29,294
B41,B30,282
B41,B31,270
B41,B32,258
B41,B33,246
B41,B34,234
B41,B35,222
B41,B36,210
B41,B37,198
B41,B38,186
B41,B39,174
B41,B40,162
B41,B42,162
B41,B43,174
B41,B44,186
B41,B45,198
B41,B46,210
B41,B47,222
B41,B48,234
B42,B01,642
B42,B02,630
B42,B03,618
B42,B04,606
B42,B05,594
B42,B06,582
B42,B07,570
B42,B08,558
B42,B09,546
B42,B10,534
B42,B11,522
B42,B12,510
B42,B13,498
B42,B14,486
B42,B15,474
B42,B16,462
B42,B17,450
B42,B18,438
B42,B19,426
B42,B20,414
B42,B21,402
B42,B22,390
B42,B23,378
B42,B24,366
B42,B25,354
B42,B26,342
B42,B27,330
B42,B28,318
B42,B29,306
B42,B30,294
B42,B31,282
B42,B32,270
B42,B33,258
B42,B34,246
B42,B35,234
B42,B36,222
B42,B37,210
B42,B38,198
B42,B39,186
B42,B40,174
B42,B41,162
B42,B43,162
B42,B44,174
B42,B45,186
B42,B46,198
B42,B47,210
B42,B48,222
B43,B01,654
B43,B02,642
B43,B03,630
B43,B04,618
B43,B05,606
B43,B06,594
B43,B07,582
B43,B08,570
B43,B09,558
B43,B10,546
B43,B11,534
B43,B12,522
B43,B13,510
B43,B14,498
B43,B15,486
B43,B16,474
B43,B17,462
B43,B18,450
B43,B19,438
B43,B20,426
B43,B21,414
B43,B22,402
B43,B23,390
B43,B24,378
B43,B25,366
B43,B26,354
B43,B27,342
B43,B28,330
B43,B29,318
B43,B30,306
B43,B31,294
B43,B32,282
B43,B33,270
B43,B34,258
B43,B35,246
B43,B36,234
B43,B37,222
B43,B38,210
B43,B39,198
B43,B40,186
B43,B41,174
B43,B42,162
B43,B44,162
B43,B45,174
B43,B46,186
B43,B47,198
B43,B48,210
B44,B01,666
B44,B02,654
B44,B03,642
B44,B04,630
B44,B05,618
B44,B06,606
B44,B07,594
B44,B08,582
B44,B09,570
B44,B10,558
B44,B11,546
B44,B12,534
B44,B13,522
B44,B14,510
B44,B15,498
B44,B16,486
B44,B17,474
B44,B18,462
B44,B19,450
B44,B20,438
B44,B21,426
B44,B22,414
B44,B23,402
B44,B24,390
B44,B25,378
B44,B26,366
B44,B27,354
B44,B28,342
B44,B29,330
B44,B30,318
B44,B31,306
B44,B32,294
B44,B33,282
B44,B34,270
B44,B35,258
B44,B36,246
B44,B37,234
B44,B38,222
B44,B39,210
B44,B40,198
B44,B41,186
B44,B42,174
B44,B43,162
B44,B45,162
B44,B46,174
B44,B47,186
B44,B48,198
B45,B01,678
B45,B02,666
B45,B03,654
B45,B04,642
B45,B05,630
B45,B06,618
B45,B07,606
B45,B08,594
B45,B09,582
B45,B10,570
B45,B11,558
B45,B12,546
B45,B13,534
B45,B14,522
B45,B15,510
B45,B16,498
B45,B17,486
B45,B18,474
B45,B19,462
B45,B20,450
B45,B21,438
B45,B22,426
B45,B23,414
B45,B24,402
B45,B25,390
B45,B26,378
B45,B27,366
B45,B28,354
B45,B29,342
B45,B30,330
B45,B31,318
B45,B32,306
B45,B33,294
B45,B34,282
B45,B35,270
B45,B36,258
B45,B37,246
B45,B38,234
B45,B39,222
B45,B40,210
B45,B41,198
B45,B42,186
B45,B43,174
B45,B44,162
B45,B46,162
B45,B47,174
B45,B48,186
B46,B01,690
B46,B02,678
B46,B03,666
B46,B04,654
B46,B05,642
B46,B06,630
B46,B07,618
B46,B08,606
B46,B09,594
B46,B10,582
B46,B11,570
B46,B12,558
B46,B13,546
B46,B14,534
B46,B15,522
B46,B16,510
B46,B17,498
B46,B18,486
B46,B19,474
B46,B20,462
B46,B21,450
B46,B22,438
B46,B23,426
B46,B24,414
B46,B25,402
B46,B26,390
B46,B27,378
B46,B28,366
B46,B29,354
B46,B30,342
B46,B31,330
B46,B32,318
B46,B33,306
B46,B34,294
B46,B35,282
B46,B36,270
B46,B37,258
B46,B38,246
B46,B39,234
B46,B40,222
B46,B41,210
B46,B42,198
B46,B43,186
B46,B44,174
B46,B45,162
B46,B47,162
B46,B48,174
B47,B01,702
B47,B02,690
B47,B03,678
B47,B04,666
B47,B05,654
B47,B06,642
B47,B07,630
B47,B08,618
B47,B09,606
B47,B10,594
B47,B11,582
B47,B12,570
B47,B13,558
B47,B14,546
B47,B15,534
B47,B16,522
B47,B17,510
B47,B18,498
B47,B19,486
B47,B20,474
B47,B21,462
B47,B22,450
B47,B23,438
B47,B24,426
B47,B25,414
B47,B26,402
B47,B27,390
B47,B28,378
B47,B29,366
B47,B30,354
B47,B31,342
B47,B32,330
B47,B33,318
B47,B34,306
B47,B35,294
B47,B36,282
B47,B37,270
B47,B38,258
B47,B39,246
B47,B40,234
B47,B41,222
B47,B42,210
B47,B43,198
B47,B44,186
B47,B45,174
B47,B46,162
B47,B48,162
B48,B01,714
B48,B02,702
B48,B03,690
B48,B04,678
B48,B05,666
B48,B06,654
B48,B07,642
B48,B08,630
B48,B09,618
B48,B10,606
B48,B11,594
B48,B12,582
B48,B13,570
B48,B14,558
B48,B15,546
B48,B16,534
B48,B17,522
B48,B18,510
B48,B19,498
B48,B20,486
B48,B21,474
B48,B22,462
B48,B23,450
B48,B24,438
B48,B25,426
B48,B26,414
B48,B27,402
B48,B28,390
B48,B29,378
B48,B30,366
B48,B31,354
B48,B32,342
B48,B33,330
B48,B34,318
B48,B35,306
B48,B36,294
B48,B37,282
B48,B38,270
B48,B39,258
B48,B40,246
B48,B41,234
B48,B42,222
B48,B43,210
B48,B44,198
B48,B45,186
B48,B46,174
B48,B47,162
